Player,start,end,ppg,apg,rpg,spg,bpg,dpoy,mvp,fmvp,allstar,allnba,alldef,ppg_leader,rpg_leader,apg_leader,ws_leader,hof
Ken Wilburn,1968.0,1969.0,3.85,0.54,3.93,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
CJ Wilcox,2015.0,2017.0,2.0,0.45,0.47,0.23,0.06,0,0,0,0,0,0,0,0,0,0,0
Chris Wilcox,2003.0,2013.0,8.2,0.72,4.9,0.51,0.39,0,0,0,0,0,0,0,0,0,0,0
DC Wilcutt,1949.0,1950.0,2.17,1.36,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Gene Wiley,1963.0,1968.0,4.18,0.82,7.17,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Jacob Wiley,2018.0,2018.0,0.8,0.4,2.2,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0
Michael Wiley,1981.0,1982.0,7.36,0.67,2.62,0.51,0.23,0,0,0,0,0,0,0,0,0,0,0
Morlon Wiley,1989.0,1995.0,3.65,2.45,1.16,0.82,0.06,0,0,0,0,0,0,0,0,0,0,0
Win Wilfong,1958.0,1961.0,6.81,2.11,3.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Lenny Wilkens,1961.0,1975.0,16.5,6.7,4.67,1.25,0.19,0,0,0,9,0,0,0,0,0,0,1
Bob Wilkerson,1977.0,1983.0,10.12,3.42,4.17,1.25,0.26,0,0,0,0,0,0,0,0,0,0,0
Jamaal Wilkes,1975.0,1986.0,17.69,2.48,6.18,1.27,0.32,0,0,0,3,0,0,0,0,0,0,1
James Wilkes,1981.0,1983.0,4.8,0.91,2.4,0.51,0.27,0,0,0,0,0,0,0,0,0,0,0
Damien Wilkins,2005.0,2018.0,6.19,1.37,2.34,0.74,0.22,0,0,0,0,0,0,0,0,0,0,0
Dominique Wilkins,1983.0,1999.0,24.83,2.49,6.68,1.28,0.6,0,0,0,9,7,0,1,0,0,0,1
Eddie Lee Wilkins,1985.0,1993.0,4.76,0.19,3.11,0.25,0.19,0,0,0,0,0,0,0,0,0,0,0
Gerald Wilkins,1986.0,1999.0,13.04,3.0,2.94,1.01,0.23,0,0,0,0,0,0,0,0,0,0,0
Jeff Wilkins,1981.0,1986.0,7.87,1.02,5.67,0.39,0.54,0,0,0,0,0,0,0,0,0,0,0
Dale Wilkinson,1985.0,1985.0,1.17,0.17,0.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Mike Wilks,2003.0,2010.0,2.54,1.16,0.98,0.35,0.04,0,0,0,0,0,0,0,0,0,0,0
Aaron Williams,1994.0,2008.0,5.76,0.68,3.9,0.39,0.75,0,0,0,0,0,0,0,0,0,0,0
Al Williams,1971.0,1971.0,3.91,0.45,2.36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Alan Williams,2016.0,2019.0,6.16,0.58,5.54,0.55,0.57,0,0,0,0,0,0,0,0,0,0,0
Alondes Williams,2023.0,2023.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Alvin Williams,1998.0,2007.0,9.05,4.08,2.48,1.19,0.24,0,0,0,0,0,0,0,0,0,0,0
Art Williams,1968.0,1975.0,5.28,4.37,3.12,0.69,0.04,0,0,0,0,0,0,0,0,0,0,0
Bernie Williams,1970.0,1974.0,9.27,1.96,1.85,0.17,0.0,0,0,0,0,0,0,0,0,0,0,0
Bob Williams,1956.0,1957.0,2.92,0.29,2.46,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Brandon Williams,2022.0,2022.0,12.88,3.92,3.08,1.0,0.42,0,0,0,0,0,0,0,0,0,0,0
Buck Williams,1982.0,1998.0,12.84,1.26,9.96,0.83,0.84,0,0,0,3,1,0,0,0,0,0,0
CJ Williams,2018.0,2019.0,4.68,1.04,1.21,0.7,0.25,0,0,0,0,0,0,0,0,0,0,0
Charlie Williams,1968.0,1973.0,16.18,2.67,3.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Chuck Williams,1971.0,1978.0,10.81,4.5,2.33,1.03,0.11,0,0,0,0,0,0,0,0,0,0,0
Chuckie Williams,1977.0,1977.0,1.68,0.32,0.18,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0
Cliff Williams,1969.0,1969.0,1.33,0.67,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Corey Williams,1993.0,1994.0,2.36,0.74,0.95,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0
Deron Williams,2006.0,2017.0,16.34,8.07,3.1,1.03,0.24,0,0,0,3,2,0,0,0,0,0,0
Derrick Williams,2012.0,2018.0,8.9,0.68,3.96,0.46,0.25,0,0,0,0,0,0,0,0,0,0,0
Duck Williams,1980.0,1980.0,6.57,2.38,1.38,1.3,0.14,0,0,0,0,0,0,0,0,0,0,0
Earl Williams,1975.0,1979.0,4.55,0.86,5.58,0.42,0.42,0,0,0,0,0,0,0,0,0,0,0
Elliot Williams,2012.0,2016.0,4.93,0.86,1.48,0.41,0.06,0,0,0,0,0,0,0,0,0,0,0
Eric Williams,1996.0,2007.0,8.57,1.42,3.25,0.83,0.16,0,0,0,0,0,0,0,0,0,0,0
Fly Williams,1975.0,1975.0,9.37,2.0,2.55,0.9,0.14,0,0,0,0,0,0,0,0,0,0,0
Frank Williams,2003.0,2005.0,2.94,1.93,0.9,0.4,0.13,0,0,0,0,0,0,0,0,0,0,0
Freeman Williams,1979.0,1986.0,14.67,1.6,1.58,0.76,0.06,0,0,0,0,0,0,0,0,0,0,0
Gene Williams,1970.0,1970.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Grant Williams,2020.0,2023.0,6.15,1.18,3.42,0.5,0.51,0,0,0,0,0,0,0,0,0,0,0
Gus Williams,1976.0,1987.0,17.08,5.57,2.69,1.99,0.35,0,0,0,2,2,0,0,0,0,0,0
Guy Williams,1985.0,1986.0,2.62,0.35,1.27,0.23,0.15,0,0,0,0,0,0,0,0,0,0,0
Hank Williams,1975.0,1975.0,4.18,0.64,2.28,0.36,0.1,0,0,0,0,0,0,0,0,0,0,0
Herb Williams,1982.0,1999.0,10.84,1.68,5.91,0.55,1.46,0,0,0,0,0,0,0,0,0,0,0
Hot Rod Williams,1987.0,1999.0,11.03,1.79,6.76,0.84,1.64,0,0,0,0,0,0,0,0,0,0,0
Jalen Williams,2023.0,2023.0,13.48,3.23,4.48,1.37,0.51,0,0,0,0,0,0,0,0,0,0,0
Jason Williams,1999.0,2011.0,10.49,5.85,2.3,1.18,0.08,0,0,0,0,0,0,0,0,0,0,0
Jawad Williams,2009.0,2011.0,3.78,0.62,1.48,0.24,0.09,0,0,0,0,0,0,0,0,0,0,0
Jay Williams,2003.0,2003.0,9.52,4.67,2.6,1.15,0.23,0,0,0,0,0,0,0,0,0,0,0
Jaylin Williams,2023.0,2023.0,5.9,1.41,4.79,0.49,0.28,0,0,0,0,0,0,0,0,0,0,0
Jayson Williams,1991.0,1999.0,7.31,0.6,7.55,0.43,0.63,0,0,0,1,0,0,0,0,0,0,0
Jerome Williams,1997.0,2005.0,6.58,0.81,6.38,1.05,0.22,0,0,0,0,0,0,0,0,0,0,0
John Williams,1987.0,1995.0,10.13,2.9,5.06,1.3,0.42,0,0,0,0,0,0,0,0,0,0,0
Johnathan Williams,2019.0,2020.0,5.18,0.54,4.18,0.23,0.38,0,0,0,0,0,0,0,0,0,0,0
Jordan Williams,2012.0,2012.0,4.58,0.26,3.63,0.49,0.35,0,0,0,0,0,0,0,0,0,0,0
Justin Williams,2007.0,2008.0,3.37,0.04,3.35,0.2,0.43,0,0,0,0,0,0,0,0,0,0,0
Kenny Williams,1991.0,1994.0,4.8,0.62,2.67,0.29,0.64,0,0,0,0,0,0,0,0,0,0,0
Kenrich Williams,2019.0,2023.0,6.83,2.0,4.58,0.85,0.32,0,0,0,0,0,0,0,0,0,0,0
Kevin Williams,1984.0,1989.0,4.88,1.23,1.37,0.64,0.13,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Williams,1993.0,2000.0,2.99,0.98,6.34,0.53,1.38,0,0,0,0,0,0,0,0,0,0,0
Lou Williams,2006.0,2022.0,13.89,3.37,2.21,0.85,0.17,0,0,0,0,0,0,0,0,0,0,0
Marcus Williams,2008.0,2009.0,1.08,0.23,0.92,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0
Mark Williams,2023.0,2023.0,8.22,0.41,6.41,0.68,1.08,0,0,0,0,0,0,0,0,0,0,0
Marvin Williams,2006.0,2020.0,10.23,1.28,5.17,0.77,0.54,0,0,0,0,0,0,0,0,0,0,0
