Season,First team,First team,Second team,Second team
1981–82,Bobby Jones* (6),Philadelphia 76ers,Larry Bird*,Boston Celtics
1981–82,Dan Roundfield (3),Atlanta Hawks,Lonnie Shelton,Seattle SuperSonics
1981–82,Caldwell Jones (2),Philadelphia 76ers,Jack Sikma*,Seattle SuperSonics
1981–82,Michael Cooper (2),Los Angeles Lakers,Quinn Buckner (4),Milwaukee Bucks
1981–82,Dennis Johnson* (4),Phoenix Suns,Sidney Moncrief*,Milwaukee Bucks
1982–83,Bobby Jones* (7),Philadelphia 76ers,Larry Bird* (2),Boston Celtics
1982–83,Dan Roundfield (4),Atlanta Hawks,Kevin McHale*,Boston Celtics
1982–83,Moses Malone* (2),Philadelphia 76ers,Wayne Rollins,Atlanta Hawks
1982–83,Sidney Moncrief* (2),Milwaukee Bucks,Michael Cooper (3),Los Angeles Lakers
1982–83,Dennis Johnson* (5) (tie),Phoenix Suns,T. R. Dunn,Denver Nuggets
1982–83,Maurice Cheeks* (tie),Philadelphia 76ers,T. R. Dunn,Denver Nuggets
1983–84,Bobby Jones* (8),Philadelphia 76ers,Larry Bird* (3),Boston Celtics
1983–84,Michael Cooper (4),Los Angeles Lakers,Dan Roundfield (5),Atlanta Hawks
1983–84,Wayne Rollins (2),Atlanta Hawks,Kareem Abdul-Jabbar* (11),Los Angeles Lakers
1983–84,Maurice Cheeks* (2),Philadelphia 76ers,Dennis Johnson* (6),Boston Celtics
1983–84,Sidney Moncrief* (3),Milwaukee Bucks,T. R. Dunn (2),Denver Nuggets
1984–85,Sidney Moncrief* (4),Milwaukee Bucks,Bobby Jones* (9),Philadelphia 76ers
1984–85,Paul Pressey,Milwaukee Bucks,Danny Vranes,Seattle SuperSonics
1984–85,Mark Eaton,Utah Jazz,Akeem Olajuwon*,Houston Rockets
1984–85,Michael Cooper (5),Los Angeles Lakers,Dennis Johnson* (7),Boston Celtics
1984–85,Maurice Cheeks* (3),Philadelphia 76ers,T. R. Dunn (3),Denver Nuggets
1985–86,Paul Pressey (2),Milwaukee Bucks,Michael Cooper (6),Los Angeles Lakers
1985–86,Kevin McHale* (2),Boston Celtics,Bill Hanzlik,Denver Nuggets
1985–86,Mark Eaton (2),Utah Jazz,Manute Bol,Washington Bullets
1985–86,Sidney Moncrief* (5),Milwaukee Bucks,Alvin Robertson,San Antonio Spurs
1985–86,Maurice Cheeks* (4),Philadelphia 76ers,Dennis Johnson* (8),Boston Celtics
1986–87,Kevin McHale* (3),Boston Celtics,Paul Pressey (3),Milwaukee Bucks
1986–87,Michael Cooper (7),Los Angeles Lakers,Rodney McCray,Houston Rockets
1986–87,Akeem Olajuwon* (2),Houston Rockets,Mark Eaton (3),Utah Jazz
1986–87,Alvin Robertson (2),San Antonio Spurs,Maurice Cheeks* (5),Philadelphia 76ers
1986–87,Dennis Johnson* (9),Boston Celtics,Derek Harper,Dallas Mavericks
1987–88,Kevin McHale* (4),Boston Celtics,Buck Williams,New Jersey Nets
