Michael Jordan,1.0,1
LeBron James,1.0,1
Kareem Abdul-Jabbar,1.0,1
James Harden,0.9999999999832951,1
Shaquille O'Neal,0.9999999997043716,1
Kevin Durant,0.99999999969139,1
Moses Malone,0.9999999995860236,1
Tim Duncan,0.9999999990085229,1
Kobe Bryant,0.9999999986888426,1
Larry Bird,0.9999999986314947,1
Karl Malone,0.9999999905362884,1
Stephen Curry,0.9999999861423775,1
Julius Erving,0.9999999829486229,1
Magic Johnson,0.9999999821425619,1
Allen Iverson,0.9999998933065711,1
Dirk Nowitzki,0.9999998231152049,1
Kevin Garnett,0.9999996132945449,1
Russell Westbrook,0.9999954133295851,1
Nikola Jokic,0.9999948578941736,1
David Robinson,0.9999910097868786,1
George Gervin,0.9999898180233043,1
Hakeem Olajuwon,0.9999601564332682,1
Chris Paul,0.9999226466969052,1
Charles Barkley,0.9998868582247948,1
Steve Nash,0.9998662421672583,1
Bob McAdoo,0.9998552866347409,1
Giannis Antetokounmpo,0.9994886995244313,1
Dwyane Wade,0.9993206575073035,1
Dwight Howard,0.9988757387123376,1
Tracy McGrady,0.9988488512784801,1
John Stockton,0.99879533079225,1
Adrian Dantley,0.9986045102192462,1
Gary Payton,0.9962422972279632,1
Dominique Wilkins,0.9941162555948686,1
Dennis Rodman,0.9931164502285312,1
Carmelo Anthony,0.9906164749755723,1
Spencer Haywood,0.9885516595315164,1
Kawhi Leonard,0.9883437654236255,1
Tiny Archibald,0.9844831684436711,1
Isiah Thomas,0.9740786734812207,1
Pete Maravich,0.9532519679804758,1
Bernard King,0.9464399827901496,1
Jason Kidd,0.9332181922393475,1
Tony Parker,0.9207404309098839,1
Sidney Moncrief,0.9125594621395912,1
Damian Lillard,0.9078166060330127,1
Paul George,0.8976668953531172,1
Scottie Pippen,0.8893605700234162,1
Paul Pierce,0.8817991637534691,1
Alex English,0.8476085163554471,1
Joe Dumars,0.8428563742818579,1
Ben Wallace,0.839078232823741,1
Tim Hardaway,0.8301258433769474,1
Artis Gilmore,0.823675092089596,1
Dave Cowens,0.817025750807863,1
Mitch Richmond,0.8161890405205069,1
Chauncey Billups,0.8017116730349223,1
Clyde Drexler,0.7662532401482928,1
Kevin Johnson,0.7614612492223333,1
Blake Griffin,0.745075249216493,1
Grant Hill,0.7343031928943295,1
Jo Jo White,0.683782773308476,1
Mark Price,0.6835381733322695,1
George McGinnis,0.6824065947624406,1
Derrick Rose,0.624634229624397,1
Paul Westphal,0.6071421278416617,1
Jimmy Butler,0.5792312678957995,1
David Thompson,0.5327926831861483,1
Chris Mullin,0.49929459136311277,0
LaMarcus Aldridge,0.48528921039719075,0
Reggie Miller,0.47539114906362456,0
Kyrie Irving,0.46830261739485884,0
Chris Webber,0.46414975706598943,0
James Worthy,0.46383998377529917,0
DeMar DeRozan,0.4614601889574602,0
Ray Allen,0.45136741128188246,0
Dennis Johnson,0.43242220641228957,0
Bill Walton,0.41328239813836054,0
Gilbert Arenas,0.4049408568486566,0
Kevin Love,0.3987173707383525,0
Charlie Scott,0.3864809457793128,0
Amar'e Stoudemire,0.3820451112722429,0
Walter Davis,0.36151287836432333,0
Anfernee Hardaway,0.3407533734901702,0
Dikembe Mutombo,0.2740039190825439,0
Andre Drummond,0.2712152916634664,0
Rudy Gobert,0.2707609692515008,0
Stephon Marbury,0.25315277567074806,0
Deron Williams,0.2390793784676835,0
Dan Issel,0.23744205632054857,0
Marques Johnson,0.2361433102615156,0
Glen Rice,0.22838034640311683,0
Vince Carter,0.2282149250870634,0
Joe Johnson,0.20460826163421234,0
Manu Ginobili,0.19773482677461318,0
DeAndre Jordan,0.1880077224518191,0
Klay Thompson,0.18411647744193113,0
Gus Williams,0.1824122754772883,0
Yao Ming,0.18110454858420533,0
Rajon Rondo,0.1696384708037756,0
Alvin Robertson,0.16560963640002677,0
Kyle Lowry,0.15707195028505735,0
Tom Chambers,0.15555880020348262,0
Peja Stojakovic,0.1529720149888566,0
Randy Smith,0.15248090309983509,0
Otis Birdsong,0.14836102070321566,0
Norm Van Lier,0.1429330194743321,0
Isaiah Thomas,0.142468716454391,0
Jim Paxson,0.14005291762975636,0
Michael Redd,0.13030020839667242,0
Terry Cummings,0.13029025063534969,0
Pau Gasol,0.12888029388529687,0
Shawn Kemp,0.12273752048114922,0
Detlef Schrempf,0.12022587110743249,0
Dale Ellis,0.11942531875277085,0
Devin Booker,0.11813527841302733,0
Sam Cassell,0.11734678998004897,0
Draymond Green,0.11515102866999488,0
Truck Robinson,0.11391405160258938,0
Jamal Mashburn,0.11328373791484825,0
Goran Dragic,0.11328373791484825,0
Phil Smith,0.11167453862750493,0
Kemba Walker,0.11045772049104138,0
Swen Nater,0.10983346508463271,0
Andre Iguodala,0.10797465864092805,0
Zach Randolph,0.10778390154200124,0
Fat Lever,0.10588362207013816,0
World B Free,0.10001692502676715,0
Latrell Sprewell,0.09925177069581154,0
Juwan Howard,0.09823850347496971,0
Rod Strickland,0.0979028013890597,0
Cedric Maxwell,0.09493619825284819,0
Anthony Mason,0.0947660288424714,0
Bradley Beal,0.09371401159456273,0
Larry Johnson,0.09171953910498855,0
David Lee,0.08529552960688065,0
Carlos Boozer,0.08529552960688065,0
Julius Randle,0.08074816406934333,0
Baron Davis,0.08074816406934333,0
Bob Dandridge,0.07696046235610604,0
Victor Oladipo,0.07642297729192066,0
Richard Hamilton,0.07556373168572388,0
Norm Nixon,0.07392403484537312,0
Chris Bosh,0.07327247492147128,0
John Wall,0.0717411454577339,0
Jeff Malone,0.07124311264753361,0
